12,12,0
24,12,0
36,12,0
48,12,0
60,12,0
72,12,0
84,12,0
96,12,1
108,12,1
120,12,1
132,12,1
144,12,1
156,12,1
168,12,1
180,12,1
192,12,1
204,12,1
216,12,1
228,12,1
240,12,1
12,24,0
24,24,0
36,24,1
48,24,1
60,24,1
72,24,1
84,24,1
96,24,1
108,24,1
120,24,1
132,24,1
144,24,1
156,24,1
168,24,1
180,24,1
192,24,1
204,24,1
216,24,1
228,24,1
240,24,1
12,36,0
24,36,0
36,36,1
48,36,1
60,36,1
72,36,1
84,36,1
96,36,1
108,36,1
120,36,1
132,36,1
144,36,1
156,36,1
168,36,1
180,36,1
192,36,1
204,36,1
216,36,1
228,36,1
240,36,1
12,48,0
24,48,1
36,48,1
48,48,1
60,48,1
72,48,1
84,48,1
96,48,1
108,48,1
120,48,1
132,48,1
144,48,1
156,48,1
168,48,1
180,48,1
192,48,1
204,48,1
216,48,1
228,48,1
240,48,1
12,60,0
24,60,1
36,60,1
48,60,1
60,60,1
72,60,1
84,60,1
96,60,1
108,60,1
120,60,1
132,60,1
144,60,1
156,60,1
168,60,1
180,60,1
192,60,1
204,60,1
216,60,1
228,60,1
240,60,1
12,72,0
24,72,1
36,72,1
48,72,1
60,72,1
72,72,1
84,72,1
96,72,1
108,72,1
120,72,1
132,72,1
144,72,1
156,72,1
168,72,1
180,72,1
192,72,1
204,72,1
216,72,1
228,72,1
240,72,1
12,84,0
24,84,1
36,84,1
48,84,1
60,84,1
72,84,1
84,84,1
96,84,1
108,84,1
120,84,1
132,84,1
144,84,1
156,84,1
168,84,1
180,84,1
192,84,1
204,84,1
216,84,1
228,84,1
240,84,1
12,96,1
24,96,1
36,96,1
48,96,1
60,96,1
72,96,1
84,96,1
96,96,1
108,96,1
120,96,1
132,96,1
144,96,1
156,96,1
168,96,1
180,96,1
192,96,1
204,96,1
216,96,1
228,96,1
240,96,1
12,108,1
24,108,1
36,108,1
48,108,1
60,108,1
72,108,1
84,108,1
96,108,1
108,108,1
120,108,1
132,108,1
144,108,1
156,108,1
168,108,1
180,108,1
192,108,1
204,108,1
216,108,1
228,108,1
240,108,1
12,120,1
24,120,1
36,120,1
48,120,1
60,120,1
72,120,1
84,120,1
96,120,1
108,120,1
120,120,1
132,120,1
144,120,1
156,120,1
168,120,1
180,120,1
192,120,1
204,120,1
216,120,1
228,120,1
240,120,1
12,132,1
24,132,1
36,132,1
48,132,1
60,132,1
72,132,1
84,132,1
96,132,1
108,132,1
120,132,1
132,132,1
144,132,1
156,132,1
168,132,1
180,132,1
192,132,1
204,132,1
216,132,1
228,132,1
240,132,1
12,144,1
24,144,1
36,144,1
48,144,1
60,144,1
72,144,1
84,144,1
96,144,1
108,144,1
120,144,1
132,144,1
144,144,1
156,144,1
168,144,1
180,144,1
192,144,1
204,144,1
216,144,1
228,144,1
240,144,1
12,156,1
24,156,1
36,156,1
48,156,1
60,156,1
72,156,1
84,156,1
96,156,1
108,156,1
120,156,1
132,156,1
144,156,1
156,156,1
168,156,1
180,156,1
192,156,1
204,156,1
216,156,1
228,156,1
240,156,1
12,168,1
24,168,1
36,168,1
48,168,1
60,168,1
72,168,1
84,168,1
96,168,1
108,168,1
120,168,1
132,168,1
144,168,1
156,168,1
168,168,1
180,168,1
192,168,1
204,168,1
216,168,1
228,168,1
240,168,1
12,180,1
24,180,1
36,180,1
48,180,1
60,180,1
72,180,1
84,180,1
96,180,1
108,180,1
120,180,1
132,180,1
144,180,1
156,180,1
168,180,1
180,180,1
192,180,1
204,180,1
216,180,1
228,180,1
240,180,1
12,192,1
24,192,1
36,192,1
48,192,1
60,192,1
72,192,1
84,192,1
96,192,1
108,192,1
120,192,1
132,192,1
144,192,1
156,192,1
168,192,1
180,192,1
192,192,1
204,192,1
216,192,1
228,192,1
240,192,1
12,204,1
24,204,1
36,204,1
48,204,1
60,204,1
72,204,1
84,204,1
96,204,1
108,204,1
120,204,1
132,204,1
144,204,1
156,204,1
168,204,1
180,204,1
192,204,1
204,204,1
216,204,1
228,204,1
240,204,1
12,216,1
24,216,1
36,216,1
48,216,1
60,216,1
72,216,1
84,216,1
96,216,1
108,216,1
120,216,1
132,216,1
144,216,1
156,216,1
168,216,1
180,216,1
192,216,1
204,216,1
216,216,1
228,216,1
240,216,1
12,228,1
24,228,1
36,228,1
48,228,1
60,228,1
72,228,1
84,228,1
96,228,1
108,228,1
120,228,1
132,228,1
144,228,1
156,228,1
168,228,1
180,228,1
192,228,1
204,228,1
216,228,1
228,228,1
240,228,1
12,240,1
24,240,1
36,240,1
48,240,1
60,240,1
72,240,1
84,240,1
96,240,1
108,240,1
120,240,1
132,240,1
144,240,1
156,240,1
168,240,1
180,240,1
192,240,1
204,240,1
216,240,1
228,240,1
240,240,1
